,fold,pop,perHoush,pctBlack,pctWhite,pctAsian,pctHisp,pct12-21,pct12-29,pct16-24,pct65up,persUrban,pctUrban,medIncome,pctWwage,pctWfarm,pctWdiv,pctWsocsec,pctPubAsst,pctRetire,medFamIncome,perCapInc,whitePerCap,blackPerCap,NAperCap,asianPerCap,otherPerCap,hispPerCap,persPoverty,pctPoverty,pctLowEdu,pctNotHSgrad,pctCollGrad,pctUnemploy,pctEmploy,pctEmployMfg,pctEmployProfServ,pctOccupManu,pctOccupMgmt,pctMaleDivorc,pctMaleNevMar,pctFemDivorc,pctAllDivorc,persPerFam,pct2Par,pctKids2Par,pctKids-4w2Par,pct12-17w2Par,pctWorkMom-6,pctWorkMom-18,kidsBornNevrMarr,pctKidsBornNevrMarr,numForeignBorn,pctFgnImmig-3,pctFgnImmig-5,pctFgnImmig-8,pctFgnImmig-10,pctImmig-3,pctImmig-5,pctImmig-8,pctImmig-10,pctSpeakOnlyEng,pctNotSpeakEng,pctLargHousFam,pctLargHous,persPerOccupHous,persPerOwnOccup,persPerRenterOccup,pctPersOwnOccup,pctPopDenseHous,pctSmallHousUnits,medNumBedrm,houseVacant,pctHousOccup,pctHousOwnerOccup,pctVacantBoarded,pctVacant6up,medYrHousBuilt,pctHousWOphone,pctHousWOplumb,ownHousLowQ,ownHousMed,ownHousUperQ,ownHousQrange,rentLowQ,rentMed,rentUpperQ,rentQrange,medGrossRent,medRentpctHousInc,medOwnCostpct,medOwnCostPctWO,persEmergShelt,persHomeless,pctForeignBorn,pctBornStateResid,pctSameHouse-5,pctSameCounty-5,pctSameState-5,landArea,popDensity,pctUsePubTrans,pctOfficDrugUnit,murders,murdPerPop,rapes,rapesPerPop,robberies,robbbPerPop,assaults,assaultPerPop,burglaries,burglPerPop,larcenies,larcPerPop,autoTheft,autoTheftPerPop,arsons,arsonsPerPop,violentPerPop,nonViolPerPop
fold,1.0,-0.04450474417466386,0.016818552273752844,-0.04048431149886952,0.02332260340120808,0.0050473751320772985,0.03534703305668249,-0.016033698960561726,-0.02452234101612072,-0.023340842956541537,-0.005174809653558679,-0.04460853114880087,0.0016725289228602528,0.03154560540125862,0.012307972487189334,0.008777303170054051,0.010486014991321922,-0.006446476902072618,-0.01633225928220849,-0.0016733969168744684,0.033127232572564135,0.018875438071066092,0.01526656428325162,-0.0137683879278482,-0.028403619709700123,0.0360213334842423,0.011303943311883882,0.030961967871020325,-0.049678081555193425,-0.026165339552409596,0.006920940788599984,-0.0016460674693435959,-0.0025194659058383243,0.015077419076474308,-5.8596889912266666e-05,0.013802484063423453,-0.03192839390251907,-0.016931060600188508,0.0012916427289282203,-0.017578445790478476,-0.029506596004276825,-0.019330996610930892,-0.019925842352560442,0.02230632729374851,0.04487712082147677,0.03616801169317321,0.04078157470964357,0.05062381601105345,-0.051875095486385144,-0.044534205910318266,-0.04753127149648764,-0.03970606088738628,-0.041763747859760364,-0.03506993098523736,-0.024753437578142894,-0.030194673666393605,-0.022863852140151436,0.010600703303462376,0.015088670167958486,0.012454504175925831,0.014930868219327337,-0.03469346963645693,0.03577551344139167,0.010523691221051758,0.014687139364908194,0.031199565003988,0.029177609398402485,0.012181159535429633,0.03406605406462036,0.013145036811856288,-0.025066694503163903,0.020904212671007467,-0.03865810357431744,-0.03957731813500741,0.03479587360198066,-0.043209475726672726,-0.0017445177691333832,0.04271288528078817,-0.022890914423745364,-0.0191148807530391,0.021619676705143025,0.020925395615518264,0.0221439165931925,0.019213672649118402,0.022717805653913032,0.027658441245619992,0.03428697270604435,0.04173301039171077,0.028863559290351174,0.012929533406404145,0.03853956329614642,0.0063250683332877105,-0.043133128964683014,-0.03964617857955587,0.03326914116520302,-0.009863284156006694,0.022950531571353506,0.01432195462916128,0.023009739971350505,0.008485099422695491,-0.03286076513836347,-0.01682655676464864,-0.004154506888093321,-0.04960196680347143,-0.02965088899692575,-0.05049031476397039,-0.0067082457868832485,-0.04638329660971912,-0.036520610557158044,-0.04442124209018194,-0.020320703411210277,-0.04716445217716871,-0.024835233420575087,-0.04286351916674438,-0.027412724152050018,-0.050529383674410046,-0.028486629701077393,-0.05971196486287463,-0.048806443274411866,-0.033323609388901866,-0.0274664707589043
pop,-0.04450474417466386,1.0,-0.018740064669038513,0.13560117468806654,-0.18465247019463574,0.0884535727563912,0.09401514980218144,-0.007663714215879537,0.046167073290386246,0.017654813652201607,-0.04382923631790629,0.9990518418645764,0.11437203458466826,-0.05307428343898283,-0.012615507655392037,-0.0671041511361138,-0.08582539698368356,-0.054280072352665604,0.10786127780710145,-0.05930940361999795,-0.05720099662132426,-0.025589471017508778,0.02899429183503981,-0.026194288236961003,-0.009731331086535266,-0.036215831264918986,-0.025320914726411188,-0.05087652381537737,0.9860539047119702,0.0953030351316245,0.043139395508848585,0.05556272335097402,-0.005666906433662895,0.09248654594651794,-0.022436466739398534,-0.05773567485400052,0.011179367963910817,-0.01016039701463546,-0.00876337347865366,0.10366236931800019,0.13089934130292707,0.1264232597774127,0.11737811508985305,0.06451460543706967,-0.15076297217956713,-0.15622821475283222,-0.12435058321128462,-0.14747528218883324,-0.056525011567258344,-0.08503244156040503,0.9638385149917007,0.20288636750818573,0.9294246760524844,0.06095267184238471,0.07613835508695413,0.0932628143743694,0.10954313323015626,0.14602405984120354,0.1490379509174175,0.15497755526080378,0.15716470282950176,-0.11950175919971143,0.12500057335900697,0.11482044101224982,0.0728708583139237,-0.010480273730757704,0.009629456845175355,0.02656918593002371,-0.15824298482340465,0.12085038727224502,0.13935249045854456,-0.11514916099400892,0.9162761319911367,-0.03245946415346012,-0.16096575844840286,0.1625731711653406,-0.022606600669833565,-0.059083891347752944,0.04577403824176858,0.08490585116793993,0.008306357219816757,0.016672628909687886,0.03180755865124113,0.06636585856312838,-0.005490423148622021,-0.002619501667713196,0.010581369107259445,0.03400761144803681,-0.010112557183564862,0.06164704130324275,0.04428839209757225,8.14031547600956e-05,0.9236581025750034,0.8974354481413704,0.13816688347679676,-0.06923845914848437,-0.031630536871123105,0.025563090665374072,-0.025232701714624675,0.21479370132950562,0.22267211493428316,0.3282771434090109,0.19618531517141147,0.9592948778226721,0.24164840054758047,0.8759085092201552,0.10590282586547048,0.9549900440595029,0.3115730678790203,0.9402675531054377,0.13406545295477834,0.9705409185072745,0.11902156484420919,0.9659827140880082,0.06630228628249708,0.9807372359845806,0.24486383374123655,0.8997385508780782,0.15789353735834838,0.19899994010036193,0.12283013144189041
perHoush,0.016818552273752844,-0.018740064669038513,1.0,-0.047176397196286544,-0.23045246994461605,0.1864136067694264,0.4855690955989736,0.4918881220563895,0.38506252856438167,0.3182776636755671,-0.5782178085919516,-0.01913480755157154,-0.011828335574047269,0.1782519770235668,0.41577475477195036,0.16167934631174066,-0.1598169861921712,-0.43892853827007355,0.11444969072869625,-0.328337811542226,0.09169391741935819,-0.12478307064261851,-0.12318603678636668,0.03322395633798551,-0.00157566469618335,-0.05974009899479757,0.013747641954208035,-0.07439847357541227,-0.011143003870532039,0.08033679943872639,0.2253958310025269,0.11684272179045298,-0.03008901675998719,0.15078071533262552,0.09269366329752242,0.0263644687109776,-0.06381626962447752,0.07894965299361892,-0.08576531605734358,-0.41652798754585585,0.20331049662924833,-0.32487314650856136,-0.38272415737073384,0.8243535606986742,0.2448275212975887,0.17505048460080427,0.16663157525486938,0.23375690495611245,-0.2023379145304688,-0.24634088043754354,-0.012109124011350152,0.04237115426668305,0.023490304533366486,0.05110307992861034,0.07022313010486105,0.08188381205960153,0.11024408194082577,0.291224345901178,0.3120758592518858,0.3178460884509777,0.32938382545054057,-0.431843708951418,0.43824170298533455,0.6667799834615028,0.7285694695979699,0.8720356362045946,0.8032705448579235,0.7197212438463966,0.09997986910191675,0.5358626129017374,-0.29221518995881285,0.18119859661949383,-0.07799927161589447,0.20759521723020047,0.15595190233413253,0.05535993017218617,-0.03107465718870606,0.2431104198324935,0.009570544969588776,0.16658053484467844,0.10908967392643339,0.09787590911857566,0.08419707222145797,0.02723672219932285,0.13541897609516917,0.15212893994037124,0.16610958927294361,0.15932579507203865,0.16472005369119525,0.13423858006861078,0.24405565338604285,-0.09958495692127513,-0.031772391957773545,-0.011728672592844614,0.322767028762356,-0.05816457877215014,-0.09030043370847639,-0.14357293884275474,-0.051781768218520555,-0.004649510025335401,0.023634458723574975,-0.04897982531976928,-0.08198728322410534,-0.011241835194500931,0.01979089324896128,-0.052864614717604154,-0.12765682372594908,-0.011394588474341816,-0.01236574003115684,-0.015160554504469702,-0.01380158776779445,-0.033915522753810386,-0.10176670806648903,-0.04868760524429902,-0.237407703361249,-0.011658080515546343,0.02282369381933167,-0.012936700989940653,-0.015176932346710364,-0.019106217712477603,-0.19128951884387027
pctBlack,-0.04048431149886952,0.13560117468806654,-0.047176397196286544,1.0,-0.8205850410416817,-0.08910503752615787,-0.0640234341366473,0.0969538462397475,0.11977590648318986,0.08957117573340895,0.03747873970176379,0.13516813481109202,0.01605125084183589,-0.34863496519557313,-0.2405854632241666,-0.15438459946473865,-0.5048670345084523,0.11154012136135967,0.48420317893600734,-0.051681359502635145,-0.3503158752247952,-0.27195883730414894,-0.11688311540203047,-0.18796113846181145,-0.03621302110898706,-0.10744801348862988,-0.09465082936235686,-0.14095576764926515,0.17703213443189342,0.49704205471024576,0.24477643880353064,0.36713944341000043,-0.18817164762777103,0.44147057237220744,-0.2987292990987945,-0.022728474237627687,0.09695881897393904,0.23758489143712042,-0.20545799287498276,0.4232246675354142,0.2797192882392974,0.44974357707118306,0.45354298401190873,0.06514367272850438,-0.7099464905791217,-0.7405517301221354,-0.6681549051345698,-0.7040283641070023,0.11869891025430447,0.027185461164256727,0.20022804932759836,0.814887028745902,0.05274104718180978,0.14958467604650938,0.17329170697029614,0.20001669090361965,0.22204053573702026,-0.03680332675777987,-0.028585999134013152,-0.02495182059188337,-0.020178161283974132,0.08722375994479553,-0.04346156771405701,0.18154377442171585,0.10498916353543437,-0.0895362251641108,-0.13841257593633205,0.12464401315474163,-0.3804010376244645,0.1301552209892561,0.23433176394131777,-0.15552867529434034,0.19026933342315488,-0.20429333474547273,-0.34567904215365114,0.5216716517316969,0.19077262626031558,-0.11387090510233724,0.4863077680114491,0.26576327315348225,-0.2619315626411622,-0.2468696714600912,-0.23198053100420024,-0.14088146582169506,-0.30846677109834475,-0.2924397586650287,-0.2823304436140322,-0.13846739946051287,-0.26569514195219246,0.23511779931892307,-0.044767448269986305,0.23870317380141856,0.12065979278881592,0.06576301037982304,-0.0864279033600937,0.07155341628970713,-0.03363770328615184,0.07906022555788537,0.0022641771897702386,0.04449949896961621,0.10815611709306924,0.18935539649948877,0.2503816964186741,0.19752206835183916,0.6516324306701348,0.20743059410709663,0.4029665916597764,0.14216875570003698,0.6447190717713124,0.17292480328028453,0.5458981694935578,0.21066013974008815,0.548411775498163,0.18333595526472615,0.3625792329762908,0.15865801419526745,0.40910613840646004,0.15126090219840269,0.2761527282096875,0.5900235566079256,0.47046178142863204
pctWhite,0.02332260340120808,-0.18465247019463574,-0.23045246994461605,-0.8205850410416817,1.0,-0.2767177686006999,-0.4084368261594149,-0.1421710352768696,-0.20812897724612203,-0.12416690049282722,0.11440994071568841,-0.18516539387216838,-0.0596575833343135,0.3057048350781972,0.14565030546702756,0.10358469847992346,0.5998632811197424,0.04231121589061835,-0.5981242184945489,0.19096036017765708,0.3373994862254396,0.2917172561999286,0.12739691372770034,0.1292249741380957,0.03241756123794485,0.13605686378582627,0.10341353425386966,0.1948208623070494,-0.21484608095849397,-0.546990365008893,-0.45843849556346905,-0.4942753964186582,0.21716647357972652,-0.5395298375656802,0.2828575949524796,0.05045512411780044,0.00817526014779504,-0.2705518046992718,0.25733876806294087,-0.36698689603686596,-0.35445708552076427,-0.4653823220131041,-0.430434885511688,-0.3920542118725696,0.6538965819840841,0.7130993454164483,0.6144701395615204,0.6354454849817938,0.03904507555991446,0.17955873599717945,-0.21968199206799935,-0.8045875068906405,-0.1323907586085703,-0.21594317737834426,-0.275318455817191,-0.33152207569745684,-0.3893896671117395,-0.38478602415971414,-0.40736213580002373,-0.42331446902840797,-0.4341911908838314,0.39675842854872756,-0.42388570258543234,-0.5551899584671356,-0.47557685577173975,-0.21478631080428515,-0.12118371267747238,-0.4698583458811005,0.5143386784095922,-0.5880634992086151,-0.36650081650043614,0.2925315930357018,-0.21269407838185017,0.15323948379926766,0.44982953239714474,-0.48795331415446064,-0.033335883051727584,0.047653997951384176,-0.4967540382885512,-0.3836390044763832,0.08512692066139206,0.07108127254869583,0.06206904689672732,0.012056334743257837,0.13674543143092383,0.13213449302077915,0.12550139345526898,0.06218366764325352,0.12595458936703385,-0.3581154855477644,-0.18127054298994058,-0.09502985342356329,-0.1520627441563879,-0.10434392055307018,-0.36519366117042695,0.13154360983148025,0.15348190659444716,-0.03645819439790382,0.04044901263790325,-0.05268119706976532,-0.32039123708261835,-0.24316094793872967,-0.2627018597787255,-0.22142720220039877,-0.6659618174213312,-0.23499470415136314,-0.3655813176012529,-0.1714520571032628,-0.7104251368976549,-0.20746983564952157,-0.5663414758912019,-0.25050527721620736,-0.5654577293397289,-0.22513270062441637,-0.32121628693155607,-0.20653305411955875,-0.5569653941013202,-0.1958161312073837,-0.3333911559938615,-0.6411294926795309,-0.47596012599875626
pctAsian,0.0050473751320772985,0.0884535727563912,0.1864136067694264,-0.08910503752615787,-0.2767177686006999,1.0,0.1986408882276139,-0.008442003961716788,0.07075787541362016,0.03738666057158987,-0.2057671030689856,0.09591977049449885,0.22495125063833324,0.31068177025635785,0.25336628023270896,-0.07524249411080962,0.13213843578103798,-0.30013495706025045,-0.04720075352208699,-0.1605092569974452,0.29406286831227735,0.2504201389245743,0.28787358150393466,0.1920730855307741,0.06228672098706063,0.06043744997695931,0.12172123378777666,0.1603764921668881,0.05041107245618805,-0.141628510957789,-0.1095184566609511,-0.18233771800219964,0.2623907234031289,-0.13292027165021222,0.1954167233039472,-0.08667250599309646,0.011863181682282651,-0.2350217825766882,0.23663050045337294,-0.11558984404509764,0.15694728019387577,-0.03695215792437329,-0.07976856958717449,0.197325100483224,0.13165976165730256,0.10971985322341048,0.16476046657434018,0.10449612011215934,-0.10535260534340508,-0.12992205193415096,0.03894892543660555,-0.050241976769881895,0.1202267681235816,0.1504209102408629,0.18693439962473848,0.24736753951827792,0.2771670109598099,0.5814547378686696,0.5812845584890274,0.6205124324565261,0.6159506815387427,-0.41566342014163576,0.3254364704905507,0.21505300077915332,0.20537642893802238,0.20801280617483817,0.19233042884159138,0.23161246198310612,-0.09643311469513995,0.2986801504241826,0.05080592192050433,-0.0735986245188721,0.03432996540433062,0.17694634686289096,-0.07960342249360623,-0.11332733973795533,-0.32386830687806756,0.07185756363472894,-0.24856380579079573,-0.056036506898798064,0.5142692020302049,0.5106931909165501,0.5032869099150806,0.3976670402920594,0.5008152237826726,0.48089068735622464,0.4686402334735415,0.2487855226949782,0.4514904357420312,0.1390840566881251,0.34657317176894736,-0.20606926119571428,0.06641023446504074,0.06906289792052062,0.6001664370951827,-0.35349105509157225,-0.15311294239333903,-0.14344046783708259,-0.16026950960803665,0.002270637578710487,0.29518215551552035,0.22966969975473162,0.06125328717744505,0.046380376845737946,0.006942801374791147,0.053296676652435766,-0.09116370486448848,0.056705308580434446,0.13254198560461067,0.05551604233694976,-0.032831849413990324,0.0682729654580588,-0.012385623121648993,0.07119472075333723,-0.09454374772364123,0.07859498897744362,0.18384929266796568,0.06368143673316704,0.043894967502586035,0.031861803042593465,-0.03658422915942097
pctHisp,0.03534703305668249,0.09401514980218144,0.4855690955989736,-0.0640234341366473,-0.4084368261594149,0.1986408882276139,1.0,0.10991872175356138,0.1570172933829516,0.05399386027547976,-0.18213751436429199,0.09410953644417376,0.02780845743826556,-0.1516330411548118,-0.0012763015363576398,0.07840325008209417,-0.4121830352472813,-0.11885071516917384,0.399725226403805,-0.23226170763274423,-0.20948615695670056,-0.22842086124849195,-0.19373010726298814,-0.01807107884370775,-0.00918574955767481,-0.09523992026688696,-0.09367513833861188,-0.21033385504541174,0.10747204038695055,0.3327928360905966,0.6359220049326145,0.49384473425165026,-0.24563406041395727,0.4167122925291526,-0.16184558793724635,-0.04870074675576819,-0.21122169242768812,0.22630593676886807,-0.27346001546203663,0.030877855421676752,0.1435267923698102,0.15165413993444768,0.09272888870688037,0.6371550980457732,-0.125425500480864,-0.19469263198239253,-0.1271779359902197,-0.09393548972971427,-0.272570578134802,-0.3952963865268476,0.07353467302562139,0.2114441390368274,0.12771481696401973,0.0686231910347898,0.1272129811591185,0.16338171970016607,0.23325398595005709,0.6094447712241002,0.6406467362642949,0.6483177753525555,0.670556852207735,-0.9103141472990702,0.8918712210764924,0.7536896851954523,0.733800886739449,0.5389353860448116,0.4499137135894807,0.6561142330689855,-0.31239153741635534,0.8642450188715726,0.32448529487146,-0.3028502743475509,0.08363228860974058,-0.07347719291923198,-0.2509162582763951,0.15103903920982395,-0.12293784388664108,0.07684683388527751,0.30125154396450804,0.4234330338568933,0.055085588191561174,0.05997822691256297,0.057121499820488524,0.0507277629218639,0.030287327476033618,0.0249209929729557,0.032645868268255794,0.02510473932652016,0.004027809151959602,0.25230506233120603,0.3206861461094034,-0.08744679017242393,0.059958164107246,0.06264700612147832,0.6887043192426372,-0.24762703937679395,-0.12519746046340008,0.03602213283608238,-0.004139557814157872,0.0013065761622674868,0.36303850845649016,0.08619474499245884,0.07898509501845065,0.07804687105129596,0.17986114857602764,0.07856193744749226,0.03181208161949342,0.07102157929412733,0.2538571370971374,0.09119634700503097,0.20630679400149848,0.10934344155721801,0.2119165083878024,0.10839892952467184,0.06508663877442827,0.10469232337606026,0.34841065303996904,0.09877763437148351,0.1526889273189008,0.2506819656103876,0.17287289588850924
pct12-21,-0.016033698960561726,-0.007663714215879537,0.4918881220563895,0.0969538462397475,-0.1421710352768696,-0.008442003961716788,0.10991872175356138,1.0,0.8723757534282283,0.9349270420408171,-0.3602875156427753,-0.01705123586606524,-0.2252389186944837,-0.27053731721445007,0.10515163229194963,0.21606823041479,-0.20635111374449938,-0.2322614423877769,0.16057231376054465,-0.27650884600964326,-0.22097513218976486,-0.3325785169647429,-0.3186297908496501,-0.18509224311276087,-0.10789280769433665,-0.2142830301144644,-0.1303023030858212,-0.2610836853018279,0.020370268895002517,0.4982555081251941,0.12860356628582478,0.06849066462028536,0.08783077690925635,0.22915644802486987,-0.20404571264365562,-0.14137914121197936,0.4178911273871142,0.05519306840715288,-0.06905168308031999,-0.22347719321018003,0.6627760372259369,-0.17131936370900483,-0.19978841200820424,0.19590572444047033,-0.13266072982886873,-0.13265751124150013,-0.14413081998629626,-0.12405820154703917,-0.014795460337399001,-0.029163518258806954,0.0006839550269170066,0.15639230424115236,-0.009591804553689924,0.40983053438224915,0.3956257546178321,0.3663659604742858,0.32744314110133343,0.08564717919857742,0.06697323143462548,0.04820778018269942,0.03377477049683218,-0.04165951514709477,0.05829110112745155,0.19754590188090942,0.20595623226224816,0.15109377980374375,0.1617328788918821,0.20820702307552577,-0.296675829699912,0.17075038593934405,0.06389616747480575,-0.10869093364349015,-0.024975630474249312,0.04193953716059837,-0.28742607066106046,0.08310389280688762,0.030635794190426224,0.06756765357007721,0.21285864619990727,0.1254126009100943,-0.20920823206865813,-0.2043204785790749,-0.19986557608308816,-0.14943254959952665,-0.2547604667360555,-0.2546524438157684,-0.23553035128764815,-0.11986440202672946,-0.2670102925547085,0.3206512198835023,-0.1472207860186611,-0.10367430222614238,-0.009701695078617446,-0.012615478360342387,-0.05098634110097573,0.04064356385229492,-0.38927648241172574,-0.4427393571980979,-0.19666755797922614,0.0036640038450394485,-0.0657031602593893,-0.12702657198402406,-0.0033631631523163034,-0.002637981791725182,0.05083616042585492,-0.0010490522582141234,0.07360816081996234,-0.007799920884613121,-0.006368597579062039,-0.00213559577923439,0.05415423943871127,-0.0033451773268653798,0.038679011701362113,-0.0028141785024878786,0.047679139247389715,-0.009824542247453376,-0.05897465893985493,-0.0015161953631865073,0.025367519078651857,0.02195271253254038,0.02901219714337167
pct12-29,-0.02452234101612072,0.046167073290386246,0.38506252856438167,0.11977590648318986,-0.20812897724612203,0.07075787541362016,0.1570172933829516,0.8723757534282283,1.0,0.9462848238575426,-0.47686106218009877,0.040552511928054154,-0.10081179759829302,-0.3292184013765377,0.23642027035985427,0.11495170889557768,-0.29064679964837975,-0.3893586781814326,0.15064299173049153,-0.3937728497320258,-0.2790863018834137,-0.37433434066999005,-0.35055580396550157,-0.18820792684739177,-0.10740547101467249,-0.28254232247544275,-0.13391708813847034,-0.2977748738809858,0.06135675615352436,0.46816800845452133,0.1124301937501292,0.0646268770862143,0.056394031723995326,0.19650270419516505,-0.03432012137039873,-0.1301780502732019,0.3139691512557074,0.061162635673087835,-0.12330522798038407,-0.058767473632244376,0.8071126759061822,0.005992905810172635,-0.029838381338022604,0.15630802575234107,-0.22721077371762882,-0.2161695701188487,-0.18427838592054052,-0.227094777464472,0.0641878941447756,0.035989604631490535,0.03730871303333191,0.24918984380881487,0.027449625834138333,0.4915875522936699,0.5047385044326975,0.49553862260836595,0.47047819373086225,0.228095917853215,0.21230402187384487,0.19270798016708998,0.17535655851262114,-0.11513387452259505,0.13935545842291405,0.20559959397287753,0.18338541479187578,0.05644768988777505,0.11059437963956917,0.17396105517624066,-0.5447751620349354,0.24499942414642323,0.3031474238092155,-0.2937059064693369,0.032935530017006866,0.038900340478456176,-0.554818048218134,0.07002730449493194,-0.12735896812225375,0.07102074216548934,0.17744583272673292,0.10554484200750917,-0.17177832777986368,-0.17168222869243613,-0.17403030243034315,-0.1478178183173712,-0.15357939387162434,-0.18111600077496354,-0.17539408431579004,-0.15033097430264028,-0.20927122110053878,0.31355396635715865,-0.025429022550603315,-0.07763716202665735,0.029717181389150575,0.014017808533711514,0.06297187989027601,-0.052221488168265426,-0.5654492902072491,-0.5568407323010726,-0.3265155265048575,0.018993315980621713,0.09292801222120696,-0.01605834685096323,0.08117669889993191,0.03303042225089222,0.09422623350551601,0.06642245014906964,0.13995721942814698,0.02475346119185839,0.09707100396113769,0.0398391598241843,0.09690231008395574,0.05408216854841214,0.08939312469117149,0.061695278273074444,0.1094142902772975,0.03675021940369127,0.06898322985623019,0.04344802872362963,0.0701542549671058,0.0995580512578939,0.10978501229998285
pct16-24,-0.023340842956541537,0.017654813652201607,0.3182776636755671,0.08957117573340895,-0.12416690049282722,0.03738666057158987,0.05399386027547976,0.9349270420408171,0.9462848238575426,1.0,-0.28487926571238803,0.010563376100517117,-0.1486317802451465,-0.29481383784649545,0.09130511777675214,0.1310834307249809,-0.15305900610379516,-0.20922399711741255,0.1029741320366435,-0.2425671262912383,-0.21612639918923662,-0.29034912787099987,-0.274454161256442,-0.17932900553149647,-0.10337159395646942,-0.22236823376988032,-0.1254099375603108,-0.243203780646503,0.03763012345479181,0.47240353566061444,0.07006249431970209,0.020409872188742992,0.14786724396243883,0.16214563318155178,-0.17592762974670542,-0.18503448499042513,0.4582549577263931,-0.010463924592199443,-0.026513816573310926,-0.15464038869325597,0.8083345772750902,-0.11613784340371547,-0.13929789451638022,0.008027059797179048,-0.1911576546316833,-0.1759002588284934,-0.1559651605818071,-0.19005132474371095,0.03398512088151028,0.029510742792246077,0.01592818234937903,0.17991339721312666,0.007967611510101327,0.4862152545030462,0.4808144800924143,0.4526124200943348,0.40587386006514015,0.16229271575356918,0.13873319811514045,0.11605620634107626,0.0947732594594145,-0.03300987993251213,0.04665005011355732,0.0843367264545997,0.06947828265983151,-0.0585774519049758,-0.016064132144933962,0.05178829257539421,-0.4464186761287785,0.1278596560791536,0.2447474453172748,-0.2560640027577375,0.00823312042882665,0.016211438750774514,-0.456306678491314,0.034093049221980164,-0.05838244065813218,-0.0024556751848932392,0.14451774031521178,0.06618295988422836,-0.14205119769841643,-0.13670289572186442,-0.1308805677899942,-0.08924414854198169,-0.17645573399977044,-0.18086585958609605,-0.16393422309512112,-0.08488686347095631,-0.20707739284963259,0.36498346100447565,-0.09350805446320598,-0.07212257662723787,0.014093105308276132,0.0028445403268520715,0.0034782616219948444,-0.031195236984080922,-0.4684892670403674,-0.530609166319591,-0.28330732648074775,0.005898219275913106,0.031762675575162616,-0.0323640632709158,0.04758619633344118,0.011900450490945314,0.046466968901756237,0.029734361320125906,0.09059095087807449,0.008011407501254003,0.039677348900584886,0.01615297846478086,0.051660531010488404,0.022449682473539734,0.05387342163142746,0.028242395557599165,0.0840393884510208,0.011197225265380967,-0.0033213107247718502,0.016760279758243502,0.02609748625893799,0.04219650056629812,0.06939022062280796
